timestamp,machine_id,machine_type,temperature_c,vibration_mm_s,pressure_bar,current_a,rpm,power_kw,runtime_hours,operating_condition,health_label,rul_hours,will_fail
0,M001,Gearbox,69.87,3.03,4.01,18.07,748.0,8.01,0.0,Normal,Normal,363.3,True
1,M001,Gearbox,70.27,2.97,4.01,17.97,749.0,7.98,0.1,Normal,Normal,363.2,True
2,M001,Gearbox,69.79,3.03,3.99,17.9,751.0,7.97,0.2,Normal,Normal,363.1,True
3,M001,Gearbox,70.12,3.02,4.0,17.86,750.0,7.94,0.3,Normal,Normal,363.0,True
4,M001,Gearbox,69.72,3.01,4.0,18.02,748.0,7.99,0.4,Normal,Normal,362.9,True
5,M001,Gearbox,70.14,3.01,3.98,17.83,751.0,7.93,0.5,Normal,Normal,362.8,True
6,M001,Gearbox,69.93,2.97,4.0,17.9,751.0,7.96,0.6,Normal,Normal,362.7,True
7,M001,Gearbox,70.0,3.0,3.99,17.8,750.0,7.92,0.7,Normal,Normal,362.6,True
8,M001,Gearbox,70.05,2.97,4.0,17.91,749.0,7.94,0.8,Normal,Normal,362.5,True
9,M001,Gearbox,69.97,3.05,4.01,17.89,751.0,7.96,0.9,Normal,Normal,362.4,True
10,M001,Gearbox,70.04,3.01,4.0,17.99,746.0,7.95,1.0,Normal,Normal,362.3,True
11,M001,Gearbox,69.86,3.01,4.0,18.04,751.0,8.02,1.1,Normal,Normal,362.2,True
12,M001,Gearbox,69.71,3.0,4.01,17.74,751.0,7.89,1.2,Normal,Normal,362.1,True
13,M001,Gearbox,70.36,3.0,4.0,18.1,750.0,8.04,1.3,Normal,Normal,362.0,True
14,M001,Gearbox,70.15,2.94,4.0,18.23,754.0,8.14,1.4,Normal,Normal,361.9,True
15,M001,Gearbox,70.22,3.03,3.99,17.99,752.0,8.02,1.5,Normal,Normal,361.8,True
16,M001,Gearbox,70.06,3.02,4.01,18.02,750.0,8.01,1.6,Normal,Normal,361.7,True
17,M001,Gearbox,69.99,3.01,4.01,17.96,747.0,7.95,1.7,Normal,Normal,361.6,True
18,M001,Gearbox,70.08,3.0,3.99,17.98,749.0,7.99,1.8,Normal,Normal,361.5,True
19,M001,Gearbox,69.68,3.03,4.01,18.06,753.0,8.06,1.9,Normal,Normal,361.4,True
20,M001,Gearbox,69.85,3.01,4.01,18.0,751.0,8.01,2.0,Normal,Normal,361.3,True
21,M001,Gearbox,69.94,3.02,3.99,17.99,754.0,8.04,2.1,Normal,Normal,361.2,True
22,M001,Gearbox,70.22,3.0,3.99,17.95,753.0,8.01,2.2,Normal,Normal,361.1,True
23,M001,Gearbox,70.03,3.02,3.99,17.95,751.0,7.99,2.3,Normal,Normal,361.0,True
24,M001,Gearbox,70.16,3.06,3.99,17.9,748.0,7.93,2.4,Normal,Normal,360.9,True
