timestamp,machine_id,machine_type,temperature_c,vibration_mm_s,pressure_bar,current_a,rpm,power_kw,runtime_hours,operating_condition,health_label,rul_hours,will_fail
0,M001,Fan,40.01,4.02,1.0,4.99,1792.0,2.48,0.0,Normal,Normal,200.0,False
1,M001,Fan,39.45,4.02,1.0,5.03,1806.0,2.52,0.1,Normal,Normal,200.0,False
2,M001,Fan,40.0,4.02,1.0,5.06,1789.0,2.51,0.2,Normal,Normal,200.0,False
3,M001,Fan,39.89,3.93,1.0,4.99,1790.0,2.48,0.3,Normal,Normal,200.0,False
4,M001,Fan,39.87,3.9,1.0,5.02,1790.0,2.5,0.4,Normal,Normal,200.0,False
5,M001,Fan,40.36,3.97,1.0,5.16,1790.0,2.57,0.5,Normal,Normal,200.0,False
6,M001,Fan,39.9,3.98,1.0,5.08,1799.0,2.54,0.6,Normal,Normal,200.0,False
7,M001,Fan,40.27,3.96,1.0,4.97,1797.0,2.48,0.7,Normal,Normal,200.0,False
8,M001,Fan,40.05,4.04,1.0,4.94,1796.0,2.46,0.8,Normal,Normal,200.0,False
9,M001,Fan,39.97,3.9,1.0,5.08,1792.0,2.53,0.9,Normal,Normal,200.0,False
10,M001,Fan,39.95,4.12,1.0,4.93,1802.0,2.47,1.0,Normal,Normal,200.0,False
11,M001,Fan,40.0,4.06,1.0,5.0,1801.0,2.5,1.1,Normal,Normal,200.0,False
12,M001,Fan,39.98,3.95,1.0,5.09,1801.0,2.54,1.2,Normal,Normal,200.0,False
13,M001,Fan,40.03,4.03,1.0,4.95,1802.0,2.48,1.3,Normal,Normal,200.0,False
14,M001,Fan,40.32,4.04,1.0,5.09,1806.0,2.55,1.4,Normal,Normal,200.0,False
15,M001,Fan,40.26,3.87,1.0,5.13,1811.0,2.58,1.5,Normal,Normal,200.0,False
16,M001,Fan,39.99,3.96,1.0,5.0,1799.0,2.5,1.6,Normal,Normal,200.0,False
17,M001,Fan,40.09,3.99,1.0,4.98,1799.0,2.49,1.7,Normal,Normal,200.0,False
18,M001,Fan,39.89,3.9,1.0,4.96,1798.0,2.48,1.8,Normal,Normal,200.0,False
19,M001,Fan,39.78,4.04,1.0,4.83,1806.0,2.42,1.9,Normal,Normal,200.0,False
20,M001,Fan,40.02,4.03,1.0,5.05,1792.0,2.52,2.0,Normal,Normal,200.0,False
21,M001,Fan,40.32,3.95,1.0,5.06,1789.0,2.51,2.1,Normal,Normal,200.0,False
22,M001,Fan,40.3,3.96,1.0,5.18,1790.0,2.57,2.2,Normal,Normal,200.0,False
23,M001,Fan,39.62,4.03,1.0,4.93,1799.0,2.46,2.3,Normal,Normal,200.0,False
24,M001,Fan,40.06,3.98,1.0,4.9,1809.0,2.46,2.4,Normal,Normal,200.0,False
25,M001,Fan,39.61,4.01,1.01,4.96,1806.0,2.49,2.5,Normal,Normal,200.0,False
26,M001,Fan,39.77,3.91,0.99,4.96,1810.0,2.5,2.6,Normal,Normal,200.0,False
