timestamp,machine_id,machine_type,temperature_c,vibration_mm_s,pressure_bar,current_a,rpm,power_kw,runtime_hours,operating_condition,health_label,rul_hours,will_fail
0,M001,Conveyor Motor,65.06,2.5,3.0,15.06,1200.0,5.52,0.0,Normal,Normal,128.1,True
1,M001,Conveyor Motor,64.97,2.53,3.0,14.98,1200.0,5.49,0.1,Normal,Normal,128.0,True
2,M001,Conveyor Motor,64.95,2.49,3.0,14.92,1199.0,5.47,0.2,Normal,Normal,127.9,True
3,M001,Conveyor Motor,64.93,2.48,3.0,14.96,1199.0,5.48,0.3,Normal,Normal,127.8,True
4,M001,Conveyor Motor,65.17,2.5,3.0,14.94,1200.0,5.48,0.4,Normal,Normal,127.7,True
5,M001,Conveyor Motor,65.01,2.48,3.0,14.98,1200.0,5.49,0.5,Normal,Normal,127.6,True
6,M001,Conveyor Motor,64.93,2.53,3.0,14.96,1201.0,5.49,0.6,Normal,Normal,127.5,True
7,M001,Conveyor Motor,64.86,2.5,3.0,14.95,1200.0,5.48,0.7,Normal,Normal,127.4,True
8,M001,Conveyor Motor,65.09,2.5,3.0,14.99,1199.0,5.49,0.8,Normal,Normal,127.3,True
9,M001,Conveyor Motor,64.91,2.49,3.0,15.01,1199.0,5.5,0.9,Normal,Normal,127.2,True
10,M001,Conveyor Motor,65.04,2.49,3.0,15.02,1201.0,5.51,1.0,Normal,Normal,127.1,True
11,M001,Conveyor Motor,65.11,2.49,3.0,15.01,1201.0,5.51,1.1,Normal,Normal,127.0,True
12,M001,Conveyor Motor,64.94,2.5,3.0,14.95,1201.0,5.49,1.2,Normal,Normal,126.9,True
13,M001,Conveyor Motor,65.16,2.5,3.0,15.01,1200.0,5.5,1.3,Normal,Normal,126.8,True
14,M001,Conveyor Motor,65.04,2.53,3.0,15.06,1198.0,5.51,1.4,Normal,Normal,126.7,True
15,M001,Conveyor Motor,65.1,2.5,3.0,15.0,1199.0,5.49,1.5,Normal,Normal,126.6,True
16,M001,Conveyor Motor,64.97,2.51,3.0,14.98,1199.0,5.49,1.6,Normal,Normal,126.5,True
17,M001,Conveyor Motor,64.94,2.52,3.0,14.98,1200.0,5.49,1.7,Normal,Normal,126.4,True
18,M001,Conveyor Motor,65.01,2.52,3.0,14.99,1200.0,5.49,1.8,Normal,Normal,126.3,True
19,M001,Conveyor Motor,64.83,2.5,3.0,15.0,1200.0,5.5,1.9,Normal,Normal,126.2,True
20,M001,Conveyor Motor,64.83,2.49,3.0,14.97,1200.0,5.49,2.0,Normal,Normal,126.1,True
21,M001,Conveyor Motor,65.05,2.53,3.0,15.01,1200.0,5.5,2.1,Normal,Normal,126.0,True
22,M001,Conveyor Motor,64.77,2.5,3.0,15.1,1200.0,5.54,2.2,Normal,Normal,125.9,True
23,M001,Conveyor Motor,65.04,2.5,3.0,15.05,1201.0,5.52,2.3,Normal,Normal,125.8,True
24,M001,Conveyor Motor,65.09,2.48,3.0,14.94,1200.0,5.48,2.4,Normal,Normal,125.7,True
25,M001,Conveyor Motor,65.26,2.48,3.0,15.0,1200.0,5.5,2.5,Normal,Normal,125.6,True
26,M001,Conveyor Motor,64.82,2.5,3.0,15.02,1199.0,5.5,2.6,Normal,Normal,125.5,True
27,M001,Conveyor Motor,65.18,2.49,3.0,15.03,1199.0,5.51,2.7,Normal,Normal,125.4,True
28,M001,Conveyor Motor,65.03,2.52,3.0,15.01,1200.0,5.5,2.8,Normal,Normal,125.3,True
29,M001,Conveyor Motor,65.09,2.48,3.0,15.02,1200.0,5.51,2.9,Normal,Normal,125.2,True
30,M001,Conveyor Motor,65.03,2.51,3.0,15.01,1200.0,5.5,3.0,Normal,Normal,125.1,True
31,M001,Conveyor Motor,64.92,2.53,3.0,14.95,1200.0,5.48,3.1,Normal,Normal,125.0,True
32,M001,Conveyor Motor,64.88,2.51,3.0,14.97,1201.0,5.49,3.2,Normal,Normal,124.9,True
33,M001,Conveyor Motor,65.05,2.51,3.0,14.99,1199.0,5.49,3.3,Normal,Normal,124.8,True
34,M001,Conveyor Motor,64.89,2.49,3.0,15.01,1200.0,5.51,3.4,Normal,Normal,124.7,True
35,M001,Conveyor Motor,65.1,2.5,3.0,14.99,1202.0,5.51,3.5,Normal,Normal,124.6,True
36,M001,Conveyor Motor,65.07,2.49,3.0,15.02,1200.0,5.51,3.6,Normal,Normal,124.5,True
37,M001,Conveyor Motor,65.08,2.51,3.0,14.97,1199.0,5.48,3.7,Normal,Normal,124.4,True
38,M001,Conveyor Motor,64.95,2.51,3.0,14.95,1200.0,5.48,3.8,Normal,Normal,124.3,True
39,M001,Conveyor Motor,65.05,2.49,3.0,15.0,1199.0,5.5,3.9,Normal,Normal,124.2,True
40,M001,Conveyor Motor,65.04,2.51,3.0,15.04,1199.0,5.51,4.0,Normal,Normal,124.1,True
41,M001,Conveyor Motor,64.89,2.51,3.0,15.02,1203.0,5.52,4.1,Normal,Normal,124.0,True
42,M001,Conveyor Motor,65.07,2.52,3.0,15.03,1200.0,5.51,4.2,Normal,Normal,123.9,True
43,M001,Conveyor Motor,65.09,2.49,3.0,14.98,1200.0,5.49,4.3,Normal,Normal,123.8,True
44,M001,Conveyor Motor,65.27,2.47,3.0,14.94,1200.0,5.47,4.4,Normal,Normal,123.7,True
45,M001,Conveyor Motor,65.13,2.5,3.0,14.97,1201.0,5.49,4.5,Normal,Normal,123.6,True
46,M001,Conveyor Motor,64.91,2.5,3.0,14.97,1202.0,5.5,4.6,Normal,Normal,123.5,True
47,M001,Conveyor Motor,65.07,2.47,3.0,14.97,1201.0,5.49,4.7,Normal,Normal,123.4,True
48,M001,Conveyor Motor,64.91,2.5,3.0,15.03,1199.0,5.51,4.8,Normal,Normal,123.3,True
49,M001,Conveyor Motor,64.96,2.49,3.0,15.07,1200.0,5.53,4.9,Normal,Normal,123.2,True
50,M001,Conveyor Motor,64.85,2.52,3.0,15.04,1199.0,5.51,5.0,Normal,Normal,123.1,True
51,M001,Conveyor Motor,64.94,2.52,3.0,15.02,1201.0,5.51,5.1,Normal,Normal,123.0,True
52,M001,Conveyor Motor,64.89,2.5,2.99,14.96,1200.0,5.48,5.2,Normal,Normal,122.9,True
53,M001,Conveyor Motor,64.85,2.53,3.0,14.98,1200.0,5.49,5.3,Normal,Normal,122.8,True
54,M001,Conveyor Motor,65.17,2.48,3.0,15.0,1199.0,5.5,5.4,Normal,Normal,122.7,True
