timestamp,machine_id,machine_type,temperature_c,vibration_mm_s,pressure_bar,current_a,rpm,power_kw,runtime_hours,operating_condition,health_label,rul_hours,will_fail
0,M001,Conveyor Motor,65.05,2.49,3.0,14.96,1202.0,5.49,0.0,Normal,Normal,406.1,True
1,M001,Conveyor Motor,64.92,2.5,3.01,15.1,1199.0,5.53,0.1,Normal,Normal,406.0,True
2,M001,Conveyor Motor,64.93,2.5,2.99,14.93,1201.0,5.48,0.2,Normal,Normal,405.9,True
3,M001,Conveyor Motor,64.97,2.52,3.0,14.91,1198.0,5.46,0.3,Normal,Normal,405.8,True
4,M001,Conveyor Motor,65.0,2.5,3.01,14.97,1200.0,5.49,0.4,Normal,Normal,405.7,True
5,M001,Conveyor Motor,65.18,2.5,3.0,15.03,1202.0,5.52,0.5,Normal,Normal,405.6,True
6,M001,Conveyor Motor,64.72,2.51,3.0,15.02,1199.0,5.5,0.6,Normal,Normal,405.5,True
7,M001,Conveyor Motor,65.33,2.48,3.01,14.94,1203.0,5.49,0.7,Normal,Normal,405.4,True
8,M001,Conveyor Motor,65.25,2.51,3.01,15.19,1199.0,5.56,0.8,Normal,Normal,405.3,True
9,M001,Conveyor Motor,64.88,2.49,3.01,14.89,1202.0,5.47,0.9,Normal,Normal,405.2,True
10,M001,Conveyor Motor,64.94,2.49,2.99,14.93,1197.0,5.46,1.0,Normal,Normal,405.1,True
11,M001,Conveyor Motor,65.1,2.51,3.01,14.95,1201.0,5.48,1.1,Normal,Normal,405.0,True
12,M001,Conveyor Motor,65.0,2.51,3.0,15.01,1196.0,5.48,1.2,Normal,Normal,404.9,True
13,M001,Conveyor Motor,64.97,2.5,3.0,14.98,1197.0,5.48,1.3,Normal,Normal,404.8,True
14,M001,Conveyor Motor,64.94,2.5,3.01,14.92,1200.0,5.47,1.4,Normal,Normal,404.7,True
15,M001,Conveyor Motor,64.81,2.5,3.0,15.07,1202.0,5.53,1.5,Normal,Normal,404.6,True
16,M001,Conveyor Motor,65.03,2.5,3.01,15.01,1203.0,5.52,1.6,Normal,Normal,404.5,True
17,M001,Conveyor Motor,64.67,2.52,3.0,14.91,1200.0,5.47,1.7,Normal,Normal,404.4,True
18,M001,Conveyor Motor,64.77,2.51,3.0,15.02,1198.0,5.5,1.8,Normal,Normal,404.3,True
19,M001,Conveyor Motor,64.96,2.5,3.0,15.13,1201.0,5.55,1.9,Normal,Normal,404.2,True
20,M001,Conveyor Motor,65.04,2.48,3.0,15.1,1199.0,5.53,2.0,Normal,Normal,404.1,True
21,M001,Conveyor Motor,64.96,2.47,2.99,14.83,1200.0,5.44,2.1,Normal,Normal,404.0,True
22,M001,Conveyor Motor,64.97,2.5,3.0,15.08,1197.0,5.52,2.2,Normal,Normal,403.9,True
23,M001,Conveyor Motor,64.99,2.51,3.0,14.99,1198.0,5.49,2.3,Normal,Normal,403.8,True
24,M001,Conveyor Motor,64.93,2.51,2.99,14.99,1199.0,5.49,2.4,Normal,Normal,403.7,True
25,M001,Conveyor Motor,64.99,2.52,3.0,15.12,1202.0,5.56,2.5,Normal,Normal,403.6,True
